epoch,train_loss1_a,train_loss1_b,train_loss1_c,train_loss_ex1_avg,train_loss2_a,train_loss2_b,train_loss2_c,train_loss_ex2_avg,train_total_loss,train_joint_loss,train_ex1_pct,train_ex1_diff,val_loss1_a,val_loss1_b,val_loss1_c,val_loss_ex1_avg,val_loss2_a,val_loss2_b,val_loss2_c,val_loss_ex2_avg,val_total_loss,val_joint_loss,val_ex1_pct,val_ex1_diff
1,0.675727954864502,0.6800324574198041,0.6801498771395003,0.6786367836679731,0.6131458024978638,0.5817826736654554,0.5992106287138803,0.5980463875361851,1.3766824423926218,1.276683173588344,7.138274880073173e-07,0.09999928750310626,0.652947924886431,0.6540460213933672,0.6563024816513061,0.6544321608543396,0.5182309084619795,0.4797311150346483,0.49957553717068265,0.49917920129639765,1.2536069008963449,1.1536113669531687,4.4678523135774284e-06,0.09999553362812315
2,0.6155328741414207,0.6177752140249525,0.619041108403887,0.6174497515133449,0.5109842936652047,0.48514285588264466,0.5098523181847163,0.5019931700229645,1.198517210960388,1.1194429232052394,0.021653671135958365,0.07907428560512407,0.5586612794399262,0.557155486038753,0.5676982119424002,0.5611716790539878,0.4300312212194715,0.43993285363061085,0.4727040649482182,0.44755605830465045,1.0317044836453029,1.0087277396747043,0.08912015757177558,0.02297674530318805
3,0.5422440846647535,0.5430886943680899,0.5455946644033705,0.5436424995831081,0.4458896433285304,0.46304437075342453,0.48520599177905493,0.4647133472306388,1.031258345058986,1.008355846949986,0.1012487873349871,0.022902499829019818,0.5189545691013336,0.521080974817276,0.5251819445746285,0.5217391799858638,0.3789551013026919,0.42273449499266486,0.4524643283741815,0.4180513184751783,0.9626059857777187,0.9397905018670218,0.10805613746600491,0.0228154850261552
4,0.5161949335506985,0.5244631320067814,0.5249380023138863,0.5218653738839286,0.3963698835543224,0.45109443054880416,0.4679882289852415,0.4384841923032488,0.983532124042511,0.9603495685713632,0.1082341506502458,0.02318255723799978,0.4941589447430202,0.5083938338075366,0.514148574250085,0.5055671323367528,0.3507131772381919,0.41431290793418885,0.43162838811533794,0.3988848342895508,0.9282753471646991,0.904451970236642,0.10952006469028337,0.023823377541133336
5,0.4922555399962834,0.5140328962121691,0.5182626547472817,0.5081837132317679,0.35696172620568956,0.44207823613711766,0.4567514384814671,0.41859714443343027,0.9513768040112087,0.9267808596747262,0.11041502105976854,0.024595945639269694,0.47303775760105676,0.4981082632201059,0.5066879725796836,0.49261134583609445,0.3127179788351059,0.3974111659526825,0.42274500344480787,0.37762472534179686,0.8965118220193046,0.870236072744642,0.11501935864772116,0.02627575214420046
6,0.47449909244264876,0.5086864444528307,0.5138562466076442,0.4990139423097883,0.32072333105972833,0.4329585898092815,0.4451339349235807,0.3996052953515734,0.9219473690986634,0.8986192385809763,0.11073786325114114,0.023328132246221815,0.45764260026386805,0.49424099121774945,0.5052523164749145,0.48571198119435993,0.3022701451608113,0.3996200064931597,0.41344680072580065,0.37177899502004896,0.8804892635345459,0.8574909776278905,0.10941184597355978,0.02299828758410045
7,0.46016794048036846,0.5030573452200209,0.5105346349988665,0.49125332011495315,0.3045475249545915,0.42656710401603154,0.43383451865400585,0.38831639330727713,0.9019252871785846,0.8795697142737252,0.10911874188269888,0.022355574331113272,0.44445898737226214,0.4905445541994912,0.5045798246179308,0.47986113480159215,0.2707926335930824,0.37278245026724677,0.4041485468319484,0.34924121991225654,0.8506632049424308,0.8291023554801941,0.10041170781425067,0.021560850539377757
8,0.44373641988209317,0.49879969882965086,0.5089970267159598,0.4838443942410605,0.2829485575045858,0.4136539256572723,0.4263950994695936,0.3743325377702713,0.880749571119036,0.8581769330160959,0.10889931073784828,0.022572639363152642,0.42946540331840516,0.48639892332894463,0.5020143801144191,0.47262624628203254,0.25706155095781597,0.360398947766849,0.3982650819676263,0.3385752033335822,0.8328100617272514,0.8112014510290964,0.09960403530512538,0.02160861126439912
9,0.4337761573110308,0.4952071692943573,0.5074222337177822,0.4788018664291927,0.27096679128067835,0.4038585329736982,0.4137395427737917,0.3628549655846187,0.8635856148856027,0.8416568328993661,0.10757172874467713,0.02192878275683948,0.4220281959942409,0.4821222473553249,0.4979371907029833,0.46736255492482864,0.24478271968875612,0.3408437802280698,0.37737537670135496,0.3210006351811545,0.8096949313708715,0.7883631900378636,0.10139931837575776,0.021331742916788375
10,0.421941065958568,0.49131719027246745,0.5048385247843606,0.4726989390850067,0.25681999751073975,0.39223284551075527,0.3932003813641412,0.34741775155067445,0.8417026057243348,0.8201166920661926,0.10863777677927698,0.02158591554420335,0.4119258917740413,0.4807893355914525,0.4985518632275718,0.46375570678710937,0.23864535815800939,0.33713940375191825,0.3529954413005284,0.30959341061115264,0.7938549741336277,0.773349118913923,0.09796116437230791,0.020505855232477187
