epoch,train_loss1_a,train_loss1_b,train_loss1_c,train_loss_ex1_avg,train_loss2_a,train_loss2_b,train_loss2_c,train_loss_ex2_avg,train_total_loss,train_joint_loss,train_ex1_pct,train_ex1_diff,val_loss1_a,val_loss1_b,val_loss1_c,val_loss_ex1_avg,val_loss2_a,val_loss2_b,val_loss2_c,val_loss_ex2_avg,val_total_loss,val_joint_loss,val_ex1_pct,val_ex1_diff
1,0.6928208691052028,0.6933022869655064,0.692497173513685,0.6928734609740121,0.6046957925387791,0.5779763111046382,0.5853264651979719,0.5893328746386937,0.5893328746386937,0.5893328746386937,5.133934264506729e-33,5.133934264506729e-33,0.6929482801301139,0.6929729417392185,0.6928581068856375,0.6929264619691031,0.4916150266102382,0.4762153402056013,0.48652193869863236,0.4847841154507228,0.4847841154507228,0.4847841154507228,4.490815950375268e-33,4.490815950375268e-33
2,0.693189872946058,0.693175262928009,0.6931627840995789,0.6931759948049273,0.5003817273548671,0.4917025558267321,0.49818067911693026,0.4967550020558493,0.4967550020558493,0.4967550020558493,3.637347104195222e-33,3.637347104195222e-33,0.6932073593820844,0.6932071112224034,0.6932381638118199,0.6932175657408578,0.4140197809594018,0.43914775712149484,0.4474164550985609,0.433528007881982,0.433528007881982,0.433528007881982,3.025933615375813e-33,3.025933615375813e-33
3,0.693196153981345,0.693181574004037,0.6931875102860587,0.6931884314673288,0.43266890803405217,0.4689293293952942,0.4683376372371401,0.4566453031812395,0.4566453031812395,0.4566453031812395,2.8154123591457276e-33,2.8154123591457276e-33,0.6931648109980992,0.6931632149560111,0.6931660716193063,0.6931647182873317,0.34733864365305217,0.42296762432370866,0.4338096014090947,0.4013719661576407,0.4013719661576407,0.4013719661576407,2.704358992162981e-33,2.704358992162981e-33
4,0.69315293604987,0.6931523467472621,0.6931524700437274,0.6931526040349688,0.38331466039589474,0.45419111428942,0.45566565554482596,0.4310571540423802,0.4310571540423802,0.4310571540423802,2.6855673236835587e-33,2.6855673236835587e-33,0.6931477362768991,0.6931476512636457,0.6931476816449846,0.6931477100508554,0.33436481320858,0.4163056699207851,0.43446830449785506,0.39504627260140013,0.39504627260140013,0.39504627260140013,2.6790327892107234e-33,2.6790327892107234e-33
5,0.6931472817148481,0.6931472608702524,0.6931472675459726,0.6931472783088684,0.34115834575891496,0.44953705476011546,0.4330391272987638,0.4079115197658539,0.4079115197658539,0.4079115197658539,2.678707656709313e-33,2.678707656709313e-33,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.2747583929981504,0.39057484902654377,0.3777843779495784,0.3477058829580035,0.3477058829580035,0.3477058829580035,2.678636813233254e-33,2.678636813233254e-33
6,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.3096736925329481,0.44194636939253124,0.4104201280219214,0.3873467401436397,0.3873467401436397,0.3873467401436397,2.678636813023344e-33,2.678636813023344e-33,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.24582975971698762,0.3892752727781023,0.3528965093919209,0.3293338569062097,0.3293338569062097,0.3293338569062097,2.678636813023344e-33,2.678636813023344e-33
7,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.29301504947457996,0.431261162843023,0.38896729608944486,0.3710811792271478,0.3710811792271478,0.3710811792271478,2.678636813233254e-33,2.678636813233254e-33,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.23641267432485308,0.38303867478881565,0.33131217653410777,0.31692118540831976,0.31692118540831976,0.31692118540831976,2.678636813233254e-33,2.678636813233254e-33
8,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.26823946664163045,0.4266229704277856,0.3714847444977079,0.35544907002789633,0.35544907002789633,0.35544907002789633,2.678636813023344e-33,2.678636813023344e-33,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.21916303385155542,0.37750472162451065,0.3203934709089143,0.30568708521979193,0.30568708521979193,0.30568708521979193,2.678636813023344e-33,2.678636813023344e-33
9,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.2566429146017347,0.41434922444820405,0.3594080178993089,0.34346672814232965,0.34346672814232965,0.34346672814232965,2.678636813233254e-33,2.678636813233254e-33,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.20495587769576482,0.3567632827929088,0.31075429803984506,0.2908244947024754,0.2908244947024754,0.2908244947024754,2.678636813233254e-33,2.678636813233254e-33
10,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.2441540880203247,0.40017121260506766,0.3498299716711044,0.33138510031359536,0.33138510031359536,0.33138510031359536,2.678636813023344e-33,2.678636813023344e-33,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.20564283836739403,0.328848696078573,0.30906976031405586,0.28118710722242085,0.28118710722242085,0.28118710722242085,2.678636813023344e-33,2.678636813023344e-33
11,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.2371106224826404,0.38606018449578966,0.3424634900433677,0.32187810802459715,0.32187810802459715,0.32187810802459715,2.678636813023344e-33,2.678636813023344e-33,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.1914745014863355,0.3294457241296768,0.301348911685603,0.2740897205386843,0.2740897205386843,0.2740897205386843,2.678636813023344e-33,2.678636813023344e-33
12,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.22702653279049057,0.37252637253488813,0.33812010461091996,0.31255767890385217,0.31255767890385217,0.31255767890385217,2.678636813233254e-33,2.678636813233254e-33,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.19852833256976946,0.30447726574965883,0.30437015268632345,0.2691252584287098,0.2691252584287098,0.2691252584287098,2.678636813233254e-33,2.678636813233254e-33
