epoch,train_loss1_a,train_loss1_b,train_loss1_c,train_loss_ex1_avg,train_loss2_a,train_loss2_b,train_loss2_c,train_loss_ex2_avg,train_total_loss,train_joint_loss,train_ex1_pct,train_ex1_diff,val_loss1_a,val_loss1_b,val_loss1_c,val_loss_ex1_avg,val_loss2_a,val_loss2_b,val_loss2_c,val_loss_ex2_avg,val_total_loss,val_joint_loss,val_ex1_pct,val_ex1_diff
1,0.6764388706343515,0.677543680531638,0.6760802808489118,0.6766876304490226,0.5957383802958898,0.5900523753166199,0.5926680873121534,0.592819632428033,1.5695060302189419,1.269507263319833,1.2471177817060055e-06,0.2999987639359065,0.6473543323108129,0.6517700083596366,0.6466859634263175,0.6486034546579633,0.4933661009243556,0.4989456985337394,0.5004888213021415,0.49760022190638953,1.4461957411084856,1.146203679221017,7.948789099535654e-06,0.29999206331798006
2,0.6076291476658412,0.613500457899911,0.60056347152165,0.6072310445989881,0.49309567182404657,0.5040263239996774,0.5073547372817994,0.501492260490145,1.3759695369175502,1.108723309312548,0.032753785735010164,0.26724622583389285,0.5907474655764443,0.5511107993125915,0.532505243914468,0.5581211885043553,0.42759680707114084,0.46076446199417115,0.4708282471724919,0.4530631847040994,1.168520463194166,1.0111843756267003,0.14266392792548452,0.15733608320781162
3,0.5590465399878366,0.5205980127198355,0.5079506172112056,0.529198406457901,0.45279766735008786,0.4790466557570866,0.4896896117414747,0.4738446575573512,1.0791432771001543,1.0030430663653782,0.232673539349011,0.07610020802702222,0.4799371551445552,0.47526452909197126,0.4759516314097813,0.4770511178289141,0.40155573306764875,0.4460512741804123,0.45580195241315025,0.4344696650164468,0.9435040875843593,0.9115207825388227,0.29483085148675103,0.0319833060673305
4,0.4639611017363412,0.4840232438019344,0.4785924207653318,0.47552560114860537,0.4106452021769115,0.4632988506385258,0.46985286152362826,0.44793231657573157,0.9580469513620649,0.9234579189845494,0.2948954351118633,0.034589031713349476,0.4331335208075387,0.45660591646603177,0.46216615881238665,0.45063520983287264,0.36706334790161677,0.42820093154907224,0.44592633060046605,0.41373021374429975,0.8975912829126631,0.8643654242243085,0.30968524844305856,0.033225860731942315
5,0.438104229927063,0.47023929013524735,0.46967802485397886,0.45934052675110953,0.37227364768300736,0.44528981358664377,0.4599485880647387,0.4258373599393027,0.9167003472191947,0.8851778851917812,0.2989121814455305,0.03152246229989188,0.4116694646562849,0.44580717960425786,0.45521017827306476,0.4375622842993055,0.33423438804490224,0.40833585589272636,0.4376892647572926,0.3934198462281908,0.8651754000527518,0.8309821308680944,0.31060824494702477,0.03419327008724213
6,0.41659751166616166,0.4601869967324393,0.46127299506323677,0.4460191787651607,0.3411585658618382,0.4399666020018714,0.4520362404244287,0.41105381424086435,0.8914440108026777,0.8570729922567095,0.2989774404593876,0.03437101885250637,0.39318114042282104,0.44007412215641567,0.45084748915263584,0.42803426119259425,0.29799566913502556,0.392073921254703,0.4303648210763931,0.3734781479665211,0.8348537085396903,0.8015124105044774,0.30974181171825954,0.033341299159186225
7,0.400166282585689,0.455536657844271,0.4563224872520992,0.43734182126181465,0.3181702848843166,0.4306638903277261,0.441997827904565,0.39694401117733547,0.8684019323757717,0.8342858322007316,0.29974310658659253,0.03411610199723925,0.38172143816947934,0.43519399775777545,0.4448675926072257,0.42059435275622775,0.2953959105866296,0.39257941629205434,0.41502066188199177,0.36766533967426845,0.8213794775690352,0.7882596932819912,0.3049451426778521,0.03311978455952236
8,0.38716064688137597,0.4502392804282052,0.4514021643059594,0.4296007072925568,0.3013282704949379,0.42460742240292687,0.4325772667101451,0.38617099705764224,0.8495260751588004,0.8157717058999198,0.3015574001755033,0.033754370059285846,0.36779097991330284,0.43240731140545435,0.43946310336249217,0.4132204748562404,0.2662173637151718,0.38009740790299007,0.40409456300735475,0.3501364554507392,0.7974925733975001,0.7633569301537105,0.30836404040881565,0.03413564508301871
9,0.37162964422362194,0.44696843184743607,0.4470887263161796,0.4218956104687282,0.27792492666414803,0.41746558621951513,0.420768637912614,0.3720530606678554,0.8286011811665126,0.7939486720902579,0.30122406819888525,0.03465251006398882,0.35800902918406896,0.42817935803958346,0.436853624190603,0.40768068204607283,0.2563781272258077,0.36800063046387266,0.3894652652910777,0.33794801788670675,0.7793624178341457,0.7456286995751518,0.30236335905960626,0.03373371912751879
10,0.36603074855463846,0.44014066777910504,0.4421926656450544,0.4161213709967477,0.2696844210454396,0.41289767008168354,0.4040794316530228,0.3622205170563289,0.8121807633127485,0.7783418895176479,0.3021128212043217,0.03383887451035636,0.3484493226664407,0.426638469014849,0.4321810441017151,0.40242295472962514,0.25006670995269503,0.36372578702654157,0.3744890773807253,0.32942720220770155,0.7639760862077986,0.7318501573290144,0.30723242248807636,0.032125930786132816
