epoch,train_loss1_a,train_loss1_b,train_loss1_c,train_loss_ex1_avg,train_loss2_a,train_loss2_b,train_loss2_c,train_loss_ex2_avg,train_total_loss,train_joint_loss,train_ex1_pct,train_ex1_diff,val_loss1_a,val_loss1_b,val_loss1_c,val_loss_ex1_avg,val_loss2_a,val_loss2_b,val_loss2_c,val_loss_ex2_avg,val_total_loss,val_joint_loss,val_ex1_pct,val_ex1_diff
1,0.6635600759642465,0.660472811971392,0.6634982075010027,0.6625103868075779,0.6931578470638821,0.6931452085631234,0.6931492387907846,0.6931507746832711,0.6625103868075779,0.6625103868075779,1.0,0.0,0.6095419712747846,0.5858278673376356,0.593280122756958,0.596216673374176,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.596216673374176,0.596216673374176,1.0,0.0
2,0.5581847039290837,0.5376732620171139,0.5479360708849771,0.5479313651493617,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.5479313651493617,0.5479313651493617,1.0,0.0,0.5040188100337982,0.4875891421181815,0.49877601381710596,0.4967946687085288,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.4967946687085288,0.4967946687085288,1.0,0.0
3,0.4917551846504211,0.48968536455290657,0.49946472443853107,0.49363510496275764,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.49363510496275764,0.49363510496275764,1.0,0.0,0.456162652356284,0.45574353337287904,0.471437173979623,0.461114464862006,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.461114464862006,0.461114464862006,1.0,0.0
4,0.45654107873780386,0.4717397262709481,0.4812912793329784,0.4698573738166264,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.4698573738166264,0.4698573738166264,1.0,0.0,0.4210054093088422,0.44156020481245856,0.4629811650344304,0.44184893802234104,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.44184893802234104,0.44184893802234104,1.0,0.0
5,0.42369623245511734,0.4589426520892552,0.47458662145478386,0.452408513716289,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.452408513716289,0.452408513716289,1.0,0.0,0.39338520053454806,0.43169209686347415,0.45383650302886963,0.4263046112060547,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.4263046112060547,0.4263046112060547,1.0,0.0
6,0.39556301980359215,0.4516880059582847,0.46525937294960024,0.43750347764151437,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.43750347764151437,0.43750347764151437,1.0,0.0,0.3678453348534448,0.42616122600010464,0.4482366070577076,0.4140810675961631,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.4140810675961631,0.4140810675961631,1.0,0.0
7,0.3731319425106049,0.44597559673445564,0.45883507112094335,0.42598088100978304,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.42598088100978304,0.42598088100978304,1.0,0.0,0.34331007262638635,0.4196869764668601,0.44071429456983297,0.4012371253626687,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.4012371253626687,0.4012371253626687,1.0,0.0
8,0.34748987810952325,0.43775335848331454,0.45159044214657373,0.41227790348870413,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.41227790348870413,0.41227790348870413,1.0,0.0,0.32267393127509525,0.41606335725103105,0.433163761973381,0.39063369379724777,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.39063369379724777,0.39063369379724777,1.0,0.0
9,0.3257513610635485,0.4322310404096331,0.4429232372045517,0.4003018900666918,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.4003018900666918,0.4003018900666918,1.0,0.0,0.3024948085205896,0.41064178456578937,0.42157122799328395,0.3782359505040305,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.3782359505040305,0.3782359505040305,1.0,0.0
10,0.3028286621400288,0.4278437327316829,0.43198699610573904,0.3875531402996608,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.3875531402996608,0.3875531402996608,1.0,0.0,0.28252207034826277,0.40710540100506376,0.412504588672093,0.3673773630687169,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.3673773630687169,0.3673773630687169,1.0,0.0
11,0.28539502601964134,0.42265823226315635,0.4237039578982762,0.37725241468633924,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.37725241468633924,0.37725241468633924,1.0,0.0,0.26294738585608346,0.40315374636650086,0.40237652834824156,0.3561592308453151,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.3561592308453151,0.3561592308453151,1.0,0.0
12,0.2695336128132684,0.41839638538019996,0.4112291079248701,0.3663863784245082,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.3663863784245082,0.3663863784245082,1.0,0.0,0.25607309554304397,0.39884911016055513,0.3905024786676679,0.34847490412848336,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.34847490412848336,0.34847490412848336,1.0,0.0
13,0.2577403459804399,0.41200165932519095,0.4030000688859395,0.35758070174285345,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.35758070174285345,0.35758070174285345,1.0,0.0,0.2419874255146299,0.3946842712334224,0.3802237382275718,0.33896515417099,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.33896515417099,0.33896515417099,1.0,0.0
14,0.24382991386311395,0.40892765653133395,0.3913444447347096,0.3480340151105608,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.3480340151105608,0.3480340151105608,1.0,0.0,0.2334326242038182,0.3928252719470433,0.3699329735210964,0.332063633782523,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.332063633782523,0.332063633782523,1.0,0.0
15,0.23527524105991637,0.40619527188369203,0.38477676694733753,0.34208243659564425,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.34208243659564425,0.34208243659564425,1.0,0.0,0.22489727583527566,0.3886500024880682,0.3629941000597818,0.32551380269868035,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.32551380269868035,0.32551380269868035,1.0,0.0
16,0.22962657673869813,0.40052319060053143,0.3764444818496704,0.33553142632756916,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.33553142632756916,0.33553142632756916,1.0,0.0,0.21747694566420148,0.38851700130530764,0.3533729125091008,0.3197889634370804,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.3197889634370804,0.3197889634370804,1.0,0.0
17,0.22374213999509812,0.39943410105364663,0.3674959256478718,0.33022406515053343,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.33022406515053343,0.33022406515053343,1.0,0.0,0.21428286980731145,0.38431601705721447,0.3471025321313313,0.31523381572110315,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.31523381572110315,0.31523381572110315,1.0,0.0
18,0.22146157035657338,0.39951911178656985,0.3611547427518027,0.3273784841809954,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.3273784841809954,0.3273784841809954,1.0,0.0,0.2090681137740612,0.3826878901720047,0.34096687385014124,0.3109076353822436,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.3109076353822436,0.3109076353822436,1.0,0.0
19,0.21308042833634785,0.394274081162044,0.35490840599366597,0.32075431501865387,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.32075431501865387,0.32075431501865387,1.0,0.0,0.20658008999909674,0.38149173152446747,0.33402542778423855,0.30736575959409984,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.30736575959409984,0.30736575959409984,1.0,0.0
20,0.21271265311752047,0.39484346875122617,0.3518093944106783,0.31978851432459693,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.31978851432459693,0.31978851432459693,1.0,0.0,0.20081189373987063,0.3785189231463841,0.33056745740345544,0.30329943326541353,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.30329943326541353,0.30329943326541353,1.0,0.0
