rejection,error,exit1_rate
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
0.0,0.094760147601476,1.0
