epoch,train_loss_ex1,train_loss_ex2,train_total_loss,train_joint_loss,train_ex1_pct,train_ex1_diff,val_loss_ex1,val_loss_ex2,val_total_loss,val_joint_loss,val_ex1_pct,val_ex1_diff
1,0.660440021746249,0.5825679670154201,1.3399051916542777,1.243007988585115,0.0031947200267847947,0.09689720807667662,0.6159495346565947,0.4887107649632681,1.1691898248418813,1.1046603002819404,0.04438824152759623,0.06452952439662828
2,0.5734635567319054,0.49652145322747704,1.1132875779793725,1.0699850108598081,0.08059929661573624,0.04330256653693615,0.5354223353214456,0.46429639925818306,1.0448073209815116,0.9997187332378179,0.10389396510967888,0.04508858804162857
3,0.525700964439678,0.4635187711972761,1.0295299535961513,0.9892197345952852,0.11079228551244812,0.04031021928335253,0.5033531017530869,0.42359407797844206,0.9731403975548902,0.9269471796697349,0.12005270287703906,0.04619321889592714
4,0.5060686478965091,0.4354880104079772,0.9833123306103793,0.9415566573775775,0.11378771243419694,0.041755674389230696,0.49021418685737944,0.3969587262243174,0.929328126470907,0.8871729135583927,0.11567619839041511,0.04215521327003625
5,0.49525437378699744,0.4079773428527665,0.941330629961468,0.9032317163749328,0.11001393135262695,0.03809891434571754,0.48020978655083485,0.3498623821646046,0.8681732734303339,0.8300721684197114,0.10221501127005692,0.038101106363467835
6,0.48586838992568554,0.38198127654067715,0.9060563973340943,0.8678496663780857,0.10793798086848617,0.038206732174231546,0.47202887523795756,0.31636607960325563,0.8267561377719115,0.7883949551501828,0.09990122568378693,0.03836118360601754
7,0.477592980303753,0.3589769343523335,0.874431201067016,0.836569915115127,0.10723957782876081,0.03786128706638635,0.4658322348766982,0.3103501076426057,0.8161245343315093,0.7761823426031671,0.0967976451104935,0.03994219199538019
8,0.46930798196114637,0.338458983037815,0.8447235723807348,0.8077669656036589,0.10856500835024412,0.036956607456808975,0.45364367910682873,0.286860355696866,0.7854810002220185,0.7405040343225849,0.09915645124712932,0.04497696633199098
9,0.46092742556149924,0.32602761192379687,0.8238557986915112,0.7869550369821171,0.10768015493343086,0.03690076250388724,0.44685710837702614,0.2835569695207639,0.7882457430964398,0.7304140780279986,0.0930398107074329,0.05783166606155758
10,0.45293293427234577,0.3161978368598844,0.8044283054769039,0.7691307717236863,0.10875348519214972,0.035297534201223564,0.43887314668269517,0.2812451734781371,0.776286801402744,0.7201183197657927,0.095551261127986,0.05616848205185332
11,0.4451399477843142,0.3089093667944955,0.790793264699632,0.7540493137887304,0.10993754527638049,0.03674395252857798,0.43403635205815755,0.2685140858501443,0.7623525433489496,0.7025504386078972,0.0890712903446178,0.05980210582685979
12,0.4378524646516095,0.3002408381498538,0.7755407877619515,0.738093302748497,0.11088574567193969,0.037447486114710285,0.4258453770677484,0.2644889030133272,0.7466980043216057,0.6903342804496322,0.09552610723932949,0.05636372411032141
13,0.4342182095987961,0.29505795168897836,0.7661137242417483,0.7292761613054298,0.10944239108412751,0.03683756347260134,0.4217923424290537,0.26373499058081074,0.7459254713455366,0.6855273327450334,0.088568350232054,0.06039813951196334
14,0.4297896443702881,0.29150746303270636,0.7563350171874768,0.7212971076016178,0.10893997372491108,0.03503791059663087,0.4142677690127591,0.2623606485875226,0.7288665637479856,0.6766284178253881,0.09810992960389968,0.052238145549627135
15,0.42341914075598897,0.28845471177709187,0.7476142965680898,0.7118738518577616,0.11022155197619757,0.03574044569240998,0.4105738322846415,0.255500857270283,0.7256190406061461,0.6660746896542361,0.09301491480561247,0.05954435190750877
16,0.4193557230005332,0.2829477067427683,0.7381917887424688,0.702303429579989,0.10908160654367809,0.03588835976717738,0.40868005511390654,0.250510335617403,0.7207858841071761,0.6591903900118519,0.08714582314725824,0.06159549443298395
17,0.41475043795402583,0.27709333131186914,0.7276872694315786,0.6918437696675553,0.10944285539091428,0.035843500340030796,0.4049468702102583,0.24185530371937494,0.7098433676736332,0.6468021742187405,0.08531178651880737,0.06304119377048306
18,0.4117597580061987,0.2679981984268715,0.7146499507764786,0.6797579569274216,0.10971041995109505,0.03489199532549034,0.3990195913337418,0.23144698294400462,0.6898978087185966,0.6304665749354103,0.09307075364645394,0.05943123444305706
19,0.4077435786796125,0.2551012526562005,0.6975977776916389,0.662844832015546,0.10894466268965727,0.03475294602699401,0.3992889360017121,0.21561777432254953,0.6763308784302094,0.6149067110006843,0.08402190449640985,0.06142416833877846
20,0.40515623644206195,0.24961162299156117,0.6897153877675251,0.6547678600096307,0.10967021422699023,0.03494752836921274,0.39791520780296685,0.21135338902433726,0.6715006154224771,0.6092685966165428,0.08069085124306274,0.06223201912814548
21,0.4027398858943257,0.2431394443494131,0.6799835368673101,0.6458793306873308,0.10929721167809837,0.034104206347705626,0.3946233511553698,0.2065211575041344,0.6652543638872592,0.6011445085690202,0.0817179757515763,0.06410985562720853
22,0.3999127187452751,0.2383442674962124,0.6730360459377416,0.6382569873008118,0.1089525831409761,0.03477905963887394,0.3893160851522221,0.2054089376012137,0.6490072518834288,0.5947250224985359,0.0942094620809365,0.054282229424617585
23,0.3977429294402565,0.2314204856581209,0.6626621909192388,0.6291634153521739,0.10846063106704804,0.033498776478525165,0.3915163456369633,0.19862223316262084,0.6513583614398235,0.5901385792729696,0.07700525238167635,0.061219781749744975
24,0.39697206820145037,0.2275691985051143,0.6576536771316099,0.6245412664284921,0.10771852032771397,0.0331124114711279,0.38719663866111453,0.20101445048641395,0.640763547748186,0.5882110890460099,0.08534343750767798,0.05255245826741178
